iter	Passed	Remaining
931	30873	2252
932	30908	2219
933	30941	2186
934	30972	2153
935	31003	2119
936	31034	2086
937	31066	2053
938	31100	2020
939	31132	1987
940	31166	1954
941	31197	1920
942	31230	1887
943	31261	1854
944	31294	1821
945	31369	1790
946	31403	1757
947	31435	1724
948	31467	1691
949	31503	1658
950	31536	1624
951	31566	1591
952	31599	1558
953	31630	1525
954	31661	1491
955	31691	1458
956	31725	1425
957	31756	1392
958	31789	1359
959	31820	1325
960	31853	1292
961	31887	1259
962	31919	1226
963	31954	1193
964	31987	1160
965	32018	1126
966	32050	1093
967	32083	1060
968	32119	1027
969	32151	994
970	32181	961
971	32214	927
972	32244	894
973	32276	861
974	32315	828
975	32347	795
976	32380	762
977	32411	729
978	32442	695
979	32477	662
980	32509	629
981	32541	596
982	32572	563
983	32605	530
984	32636	497
985	32671	463
986	32709	430
987	32742	397
988	32773	364
989	32805	331
990	32840	298
991	32873	265
992	32905	231
993	32939	198
994	32974	165
995	33007	132
996	33041	99
997	33078	66
998	33111	33
999	33146	0
